file,sound,param,value,attack_ms,band_air_share,band_high_share,band_low_share,band_lowmid_share,band_mid_share,band_sub_share,centroid_slope_hz_per_ms,crest_factor_db,decay_ms,duration_s,f0_hz,f0_hz_at_100ms,f0_hz_at_30ms,f0_hz_at_5ms,f0_voiced_confidence,harmonic_percussive_ratio,loudness_a_db,peak_db,rise_10_90_ms,rms_db,spectral_bandwidth,spectral_centroid_hz,spectral_centroid_hz_100ms,spectral_flatness,spectral_flux_mean,spectral_rolloff_85,t60_estimate_ms,zero_crossing_rate,decay20_ms,decay40_ms,sustain_share
library/real/wav/kick__real__0079.wav,kick,real,0079,20.498866213151928,5.981572505323021e-07,6.826448209324532e-05,0.30632806555346853,0.014438887492981289,0.0008334670889253588,0.678330717225281,1.6805774223329355,7.35775961892777,5.26077097505669,0.026122448979591838,47.39512167317005,47.94582646005381,47.94582646005381,63.63138712432303,0.0587729717026489,28.075062814081782,-32.92673684299926,-1.000151903819357,2.9705215419501134,-8.357911522747127,1612.40041862347,331.0076921182469,399.8621559228101,6.696536850253036e-06,0.044497643966646,119.69927619485294,694.2580417818283,0.002168543198529412,188,328,0.7276
library/real/wav/kick__real__0080.wav,kick,real,0080,0.6575963718820862,2.247424602067769e-05,0.0007678843784395163,0.5107920138020627,0.1213244099967052,0.0036434345888583753,0.3634497829879136,-0.5889149646510792,14.157571672714422,1.7687074829931972,0.00836734693877551,47.12214585921682,48.78390474418438,nan,nan,0.045520636785802024,2.435642990383386,-33.03484680420828,-0.9998544876801003,0.3401360544217687,-15.157426160394522,1633.2630721661037,328.56357383958266,665.4890271978419,1.1396684793381755e-05,0.05685567275115402,269.63315217391306,1261.6547324187623,0.002335258152173913,74,260,0.4123
library/real/wav/kick__real__0081.wav,kick,real,0081,1.0430839002267573,6.528678909094055e-07,4.143933611309378e-06,0.5731297494036711,0.16936125894019682,0.00289026148116118,0.25461393337346866,1.218348820864681,12.173069685648828,1.3378684807256236,0.020136054421768707,46.58090185094999,46.3126155980921,nan,nan,0.03990177854529813,1.397277667030488,-30.435077365445498,-0.9998544876801003,0.5895691609977325,-13.172924173328928,1554.3837569677803,285.15951293978304,424.545128233945,4.244454230433247e-06,0.05871165458396486,112.55992542613636,782.774434472691,0.0025523792613636365,80,234,0.3584
library/real/wav/kick__real__0082.wav,kick,real,0082,19.727891156462583,0.001218802878506433,0.009923353779167069,0.6967151193218512,0.12273592240008034,0.006612843448445687,0.16279395817194942,-1.9007918514510722,9.637364621289766,3.5374149659863945,0.026643990929705215,nan,nan,nan,nan,0.010284334213930301,0.09388972428852031,-25.39379481981718,-1.000151903819357,4.444444444444445,-10.637516525109124,2826.2705551503145,1546.6175450125372,1623.1867152283553,0.00024015617224979523,0.26125593649041934,3748.3154296875,268.8104598754161,0.010532924107142858,28,114,0.05757
library/real/wav/kick__real__0083.wav,kick,real,0083,10.90702947845805,0.0007387673187804637,0.004635086958841826,0.7107757975799734,0.051553782862516356,0.0056538921048740675,0.22664267317501377,-1.3067019643675517,11.909712798291553,3.696145124716553,0.015034013605442176,nan,nan,nan,nan,0.010376811931061672,0.08999664126078201,-29.558353916047885,-0.9998544876801003,4.875283446712018,-12.909567285971653,2971.674391910655,1662.9297698036348,1728.8248649673078,0.0002626486571275841,0.15150162792190563,4242.041015625,237.1472753999933,0.015234375,16,68,0.008092
library/real/wav/kick__real__0084.wav,kick,real,0084,16.099773242630384,0.0009753625961655194,0.011766806041419008,0.43771573283670157,0.06092014860229739,0.004491312573050365,0.4841306373503662,-9.090366675884942,12.884185346959846,1.7913832199546487,0.041065759637188205,nan,nan,nan,nan,0.01705879048888434,0.44736177772899466,-29.452075730865094,-1.000151903819357,15.306122448979592,-13.884337250779202,2432.7375207688724,1138.406892147025,1397.0385359730817,0.00020721528907703964,0.15609144371593883,2207.1533203125,204.660995347989,0.0034993489583333335,36,76,0.09262
library/real/wav/kick__real__0085.wav,kick,real,0085,15.736961451247165,0.0020334709024656624,0.02724996320985207,0.4950518657025375,0.028255654617062677,0.005857393435859755,0.4415516521322224,-15.999370996374596,10.548754795746557,1.7913832199546487,0.02873015873015873,40.91226413423507,39.16971338574897,48.78390474418438,nan,0.01141822691498205,2.4841467183720742,-24.74369329091365,-0.9998544876801003,14.807256235827664,-11.548609283426657,2276.6641345323114,1195.4307191114558,1270.4347807604663,0.00028372741714186066,0.10637338785670686,2221.835049715909,213.3202311687171,0.007013494318181818,24,60,0.1206
library/real/wav/kick__real__0086.wav,kick,real,0086,6.8480725623582765,1.305598380590264e-05,6.906359069849083e-05,0.49440212028285,0.22570565350062907,0.0048192351725922745,0.27499087146942436,4.557084318933993,12.237627607029818,1.8594104308390023,0.0400453514739229,50.21338226539205,50.21338226539205,nan,nan,0.09004224443459342,1.2767916366336434,-29.58662900623381,-1.000151903819357,1.2698412698412698,-13.237779510849176,2372.26909134041,642.4465673055694,543.6160564246906,3.929710353065768e-05,0.0960502133981897,437.0442708333333,486.472370237328,0.003689236111111111,36,218,0.3179
library/real/wav/kick__real__0087.wav,kick,real,0087,10.408163265306122,0.001439999732408531,0.004886964603077828,0.7635985372912155,0.01513485154814845,0.0009197142235661234,0.21401993260158353,6.0923511277181905,11.34259146394413,3.5374149659863945,0.04671201814058957,nan,nan,nan,nan,0.022312112467289594,6.436989406567303,-31.048902804539754,-0.9998544876801003,9.297052154195011,-12.34244595162423,3617.8071296643666,1824.0994352585667,1550.7180567478051,0.00048690753853129293,0.31338940758201134,4444.81201171875,535.1721666707431,0.007161458333333333,44,72,0.1092
library/real/wav/kick__real__0088.wav,kick,real,0088,5.668934240362812,0.000165609101413611,0.002181401411660033,0.52742690391002,0.029297062635080185,0.0015941719560874968,0.43933485098573855,5.508118474054225,10.443352634607205,4.807256235827664,0.10585034013605442,71.42381712833429,42.962320088968426,nan,nan,0.044094993437970235,15.317645343035897,-31.79849765036343,-0.9998544876801003,0.9297052154195011,-11.443207122287305,3478.1078073384997,1501.6629821511808,1093.4636714593812,0.0004337046248789018,0.3729521898606355,3347.6953125,1321.9035489364333,0.007039388020833333,64,448,0.491
library/real/wav/kick__real__0089.wav,kick,real,0089,3.1746031746031744,0.00029500767133752183,0.00388944367328005,0.4803762393871726,0.032833393096292435,0.0031429099037039304,0.47946300626821337,5.777598647524385,17.217121702466756,1.2698412698412698,0.005011337868480726,71.01363087340704,43.21119827738208,nan,nan,0.04976474117627739,7.674752614868296,-36.961155355495066,-1.000151903819357,2.925170068027211,-18.217273606286113,3641.27144057767,1462.1100727790906,1076.6693451499455,0.0002501133317762294,0.2676120914511893,2972.4609375,1121.8894721030065,0.0052016900510204085,24,236,0.2222
library/real/wav/kick__real__0090.wav,kick,real,0090,9.387755102040817,9.428376128472872e-07,0.00017563016410211967,0.574922953392072,0.05678921914178984,0.002388215225643673,0.36572303923877936,2.4126400754971153,12.724030914501718,2.8798185941043086,0.02251700680272109,61.10986265026666,nan,58.68825876509896,61.10986265026666,0.02902985239933306,2.1242843938293996,-33.92819520100059,-1.000151903819357,8.639455782312925,-13.724182818321074,1555.6150703816381,463.28846888277127,525.4271978174482,1.5638923338627265e-05,0.2944834638627148,482.958984375,199.13727263301496,0.0035226004464285715,38,114,0.05683
library/real/wav/kick__real__0091.wav,kick,real,0091,9.229024943310657,1.1712069501179143e-06,6.844426219773343e-06,0.7606484589951108,0.1827184444125487,0.04170841801232178,0.014916662946848793,3.3623843176466424,15.842194868108113,2.7437641723356005,0.026281179138321994,nan,nan,nan,nan,0.013477479199254128,0.09749376995247298,-30.138436572683226,-1.000151903819357,8.662131519274377,-16.84234677192747,1407.6390819508106,449.46856827999085,398.0325354095173,1.2719886547147993e-05,0.12862041856485698,527.5634765625,198.00677045199586,0.004475911458333333,16,80,0.03123
library/real/wav/kick__real__0092.wav,kick,real,0092,4.580498866213152,0.0020902329127257427,0.001859637319720624,0.5248314485487643,0.19767565142135873,0.004671259723756981,0.2688717700736737,-34.26710639120126,9.11222350562525,2.131519274376417,0.03147392290249433,52.28529450371519,52.28529450371519,56.03799112997665,nan,0.03411513487212218,1.30160601508081,-25.820145076132942,-0.9998544876801003,2.199546485260771,-10.11207799330535,2622.7478742593976,1106.2110977753407,1136.0855409351238,0.0015710739224372302,0.121194273020889,2330.37109375,203.60436272310864,0.003634982638888889,36,96,0.1757
library/real/wav/kick__real__0093.wav,kick,real,0093,44.285714285714285,9.1115127420435e-09,1.554320878162584e-07,0.2670799268439348,0.0007677930099265584,2.0393016602200276e-05,0.7321317225859358,0.6733320490296598,7.913948704469651,5.328798185941043,0.09392290249433106,48.22437829419327,46.3126155980921,46.58090185094999,59.02823638950011,0.0614058882649973,410.40466699890163,-39.5907963378168,-1.000151903819357,10.204081632653061,-8.914100608289008,1152.8179674691562,157.4142827764802,419.0840376039058,2.191186148720378e-07,0.1563328042828821,67.43292557565789,901.9735750701864,0.002017372532894737,158,390,0.6547
library/real/wav/kick__real__0094.wav,kick,real,0094,4.489795918367347,2.9880250184413254e-08,4.379423965871138e-08,0.14178222672737942,0.003655910699737882,4.122106649662849e-06,0.8545576667917432,5.276078275606252,16.030222782944588,9.09297052154195,0.04943310657596372,42.46885575483417,36.126860953796196,43.21119827738208,nan,0.014439209164214156,33.469745587176355,-47.99700799072059,-1.000151903819357,2.5850340136054424,-17.030374686763945,3867.2693324610937,1200.226840306058,288.02810806446416,1.959285676848967e-05,0.049606008901375065,982.6171875,562.3873019203863,0.0038962850765306123,20,102,0.1016
library/real/wav/kick__real__0095.wav,kick,real,0095,2.4489795918367347,0.008666180289539777,0.013371073885659952,0.7162891437735811,0.1263167369421378,0.01411189741698865,0.12124496769209259,-32.76130758100321,8.252439529569482,0.13605442176870747,0.02802721088435374,nan,nan,nan,nan,0.02176696971120848,2.8152175329273867,-21.982882300521847,-1.000151903819357,2.3809523809523814,-9.252591433388838,1668.8329260233031,1086.2269452922355,1720.4965865469853,0.0031320679278493413,0.28394306674689834,2365.0634765625,221.91340960947377,0.017496744791666668,72,84,0.5485
library/real/wav/kick__real__0096.wav,kick,real,0096,2.8117913832199544,4.997468073760347e-07,2.2486739966048885e-06,0.40840720876546655,0.007947679377396998,0.0001475576526822986,0.5834948057836503,16.046544204298673,15.005731859995088,4.829931972789116,0.018934240362811793,51.0910967268256,51.0910967268256,52.588180133490575,nan,0.07571164371324121,13.153597766320006,-40.72604044897501,-1.000151903819357,1.8594104308390023,-16.005883763814445,3542.6370473378697,1738.8281431403152,161.2088568175301,0.000427876919046313,0.03249783966114951,3546.905048076923,608.1692398708146,0.009177183493589744,6,258,0.3003
library/real/wav/kick__real__0097.wav,kick,real,0097,18.095238095238095,0.00013528278290385692,0.000440498089703202,0.6280793213138225,0.01589429242930065,0.0008297630990857773,0.354620842285184,0.19507161196168854,5.193893415469631,2.0408163265306123,0.03233560090702948,59.714111458355674,82.99773149766462,118.05647277900022,137.18700320464552,0.0756519875719214,56.970264135573906,-27.720622871971763,-0.9998544876801003,13.80952380952381,-6.193747903149731,3143.284044838403,1160.9913809828643,1804.9594537429452,0.00043400783460844055,0.3032900656548855,1769.90966796875,163.35411745737994,0.004448784722222222,20,64,0.8602
library/real/wav/kick__real__0098.wav,kick,real,0098,47.46031746031746,0.001833945555903325,0.0029232062960567727,0.6745981157978697,0.03391917916122902,0.008905189057803443,0.2778203641311377,-13.703469713820676,6.9447005581084555,2.9024943310657596,0.05054421768707483,55.39433990439315,57.01751796098171,86.42239655476416,nan,0.05927120314509808,17.91417247590114,-25.174715396284014,-1.000151903819357,0.18140589569160998,-7.9448524619278125,1209.6982430424803,661.6661154426986,1604.6275524988998,0.002027867958338573,0.18697304528282496,1373.5916940789473,1780.2070401724136,0.012309827302631578,162,164,0.8033
library/real/wav/kick__real__0099.wav,kick,real,0099,1.8140589569160999,0.0025392501913375346,0.033217228266121585,0.6469598364851501,0.17234320171839,0.0038502207942753153,0.14109026254472543,3.1276522460516984,11.918786431790874,0.11337868480725624,0.020612244897959184,82.99773149766462,nan,nan,nan,0.05164572382159557,8.364679785236094,-24.659097548851932,-1.000151903819357,0.18140589569160998,-12.91893833561023,2474.594945427699,1831.9397885910978,1707.9754648699595,0.000416871024287907,0.5769738330604044,3720.9375,620.6702949082993,0.0191162109375,40,234,0.6223
library/real/wav/kick__real__0100.wav,kick,real,0100,104.26303854875283,1.2832056254033133e-08,3.2417391483289817e-07,0.7245653128785491,0.0009418955458704825,1.5804215023523954e-06,0.27449087414810686,0.05632421530976482,10.786052388023506,3.8775510204081636,0.11671201814058957,60.75789574083323,60.75789574083323,81.57188014843278,nan,0.1267089938745747,550.8602052928338,-38.145431159861594,-1.000151903819357,62.40362811791383,-11.786204291842864,669.1784330370073,108.51024548104844,296.19095782909704,4.30762622757535e-07,0.024745368881298538,93.69853251689189,3059.712588683471,0.002824113175675676,364,1394,0.9521
library/real/wav/kick__real__0101.wav,kick,real,0101,1.2244897959183674,2.7922940348950332e-08,1.008090281428244e-06,0.48520621548687526,0.009877883903078742,0.00013860185178472196,0.5047762627450393,-0.015423032242987281,5.173168635805312,1.4285714285714286,0.09229024943310657,52.588180133490575,52.588180133490575,58.350239267725875,nan,0.06757047741651195,23.556252797368373,-31.900313799832738,-1.000151903819357,0.7936507936507936,-6.173320539624669,535.623660543427,86.40135146078563,358.834111998647,1.1079025953853504e-07,0.04407910588498901,80.74951171875,1009.1443401958253,0.0286102294921875,310,338,0.7791
library/real/wav/kick__real__0102.wav,kick,real,0102,1.9047619047619047,4.5134906360658055e-06,5.439651365679757e-05,0.6324203333346843,0.08752918515443528,0.00537713376434863,0.2746144377422389,-1.2435104530701582,7.415656739310731,0.997732426303855,0.08154195011337868,47.94582646005381,52.28529450371519,68.99085971474273,nan,0.061218318284034644,3.8304290904630993,-26.213735683421483,-1.000151903819357,1.564625850340136,-8.415808643130088,760.8810358022946,168.08845222125888,258.9184576494968,1.1917635080721324e-06,0.16471064882763914,142.119140625,422.4466656375143,0.002490234375,120,196,0.4678
library/real/wav/kick__real__0103.wav,kick,real,0103,22.267573696145124,0.0004286306840846322,0.0005708081683798822,0.8038056819262576,0.11056822875044243,0.0003083150907867632,0.08431833538004868,-11.597586628215318,6.852358598553868,1.6326530612244898,0.0473469387755102,62.53823797979174,68.19843210422299,nan,nan,0.10548906103722214,4.635838801584159,-26.064204167580094,-0.9998544876801003,18.140589569160998,-7.852213086233969,2468.6143223192225,862.4465833909794,1792.6869367828522,0.0005922725218651754,0.15335668700386035,1391.455078125,337.63357002698564,0.006533668154761905,162,190,0.6348
library/real/wav/kick__real__0104.wav,kick,real,0104,20.74829931972789,5.51251537036999e-05,0.0002744971489298677,0.1448586240312764,0.10797293256444468,0.0057506853991330775,0.7410881357025121,0.7688913647519544,9.797752017007946,1.1337868480725624,0.025215419501133787,43.46151820247428,48.502930128332736,nan,nan,0.02330032457562601,11.506283951217073,-28.67827941823604,-0.9998544876801003,6.122448979591836,-10.797606504688046,1759.4662555829186,512.5161400048253,1275.7420609998962,7.832808324512733e-05,0.348967868082722,670.4391891891892,851.6441034307375,0.003939241976351352,128,356,0.8811
library/real/wav/pad__real__0001.wav,pad,real,0001,1318.639455782313,8.874085118540153e-08,5.5037467671234996e-08,3.2723451276544696e-05,0.41524722431124195,0.5847193423338084,5.661253542543811e-07,-0.002562505180656587,11.619595290934615,0.6122448979591837,1.3231746031746032,132.5139102516963,132.5139102516963,131.75068629036696,133.2815555244552,0.2235802167300125,2637.378212815637,-16.95028412830932,-1.000151903819357,575.5328798185941,-12.619747194753971,1389.0675291455964,537.9701425439486,710.7102771026362,5.039001308461566e-07,0.5544215606965432,536.6672825168919,nan,0.019744283904440156,12,3006,0.9918
