file,sound,param,value,crest_factor_db,spectral_centroid_hz,spectral_centroid_hz_100ms,centroid_slope_hz_per_ms,band_sub_share,band_low_share,band_lowmid_share,band_mid_share,band_high_share,band_air_share,decay20_ms,decay40_ms,sustain_share,conf
corpus:005-va-bassinlove-cant-stand-it@6.861,space,corpus,6.861,9.18576,4626.26802,3800.42128,14.47701,0.12132,0.64888,0.11952,0.03431,0.03023,0.04574,110.0,186.0,0.71683,0.827
corpus:005-va-bassinlove-cant-stand-it@14.176,space,corpus,14.176,9.64001,4829.15775,4290.21616,10.1091,0.13727,0.62471,0.15363,0.02973,0.01418,0.04049,86.0,186.0,0.71324,0.816
corpus:005-va-bassinlove-cant-stand-it@11.169,space,corpus,11.169,10.52394,4620.79265,4027.21294,10.62534,0.12889,0.63606,0.14521,0.02977,0.01995,0.04011,90.0,196.0,0.74222,0.812
corpus:005-va-bassinlove-cant-stand-it@8.742,hook,corpus,8.742,16.99036,5666.83551,5670.39158,2.05361,0.00136,0.00144,0.01443,0.08726,0.34706,0.54846,70.0,104.0,0.12921,0.81
corpus:005-va-bassinlove-cant-stand-it@7.523,hook,corpus,7.523,13.33872,5606.69516,5606.69516,-3.37702,0.00284,0.00023,0.05091,0.12812,0.36215,0.45574,80.0,80.0,0.22822,0.781
corpus:005-va-bassinlove-cant-stand-it@7.814,hook,corpus,7.814,16.04651,4926.02759,4552.12447,7.2686,0.00096,0.00067,0.06347,0.34197,0.34873,0.2442,68.0,174.0,0.20134,0.77
corpus:005-va-bassinlove-cant-stand-it@34.273,hook,corpus,34.273,12.39655,3809.74431,3843.23574,-2.61813,0.01764,0.0098,0.01511,0.57225,0.28908,0.09613,116.0,116.0,0.25885,0.767
corpus:005-va-bassinlove-cant-stand-it@8.557,hook,corpus,8.557,14.84281,5068.05131,4762.08685,4.93841,0.0011,0.00029,0.07279,0.41248,0.28343,0.22992,68.0,186.0,0.23851,0.762
corpus:005-va-bassinlove-cant-stand-it@5.561,hook,corpus,5.561,16.14592,4428.82559,4227.78077,3.37967,0.01209,0.01374,0.09586,0.43476,0.28484,0.1587,110.0,186.0,0.24946,0.76
corpus:005-va-bassinlove-cant-stand-it@36.107,clap,corpus,36.107,13.3187,2851.61421,2748.69479,1.57232,0.00274,0.0002,0.0104,0.6533,0.32792,0.00544,196.0,196.0,0.8651,0.691
corpus:005-va-bassinlove-cant-stand-it@14.745,clap,corpus,14.745,13.64883,5043.58043,4854.91257,0.06042,0.00035,0.00025,0.00537,0.80081,0.05878,0.13443,22.0,196.0,0.85131,0.687
corpus:005-va-bassinlove-cant-stand-it@60.372,kick,corpus,60.372,8.21654,1344.95491,1268.82693,5.48761,0.18009,0.76377,0.04202,0.01283,0.00111,0.00018,62.0,104.0,0.02904,0.653
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@61.277,hook,corpus,61.277,16.28719,1375.63277,1609.12506,-4.50582,0.00129,0.06577,0.18041,0.52579,0.22239,0.00435,64.0,148.0,0.1186,0.872
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@31.463,hook,corpus,31.463,14.98118,914.6807,996.84565,-1.32654,0.03791,0.05139,0.06833,0.82914,0.01314,0.0001,38.0,208.0,0.05709,0.837
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@17.856,hook,corpus,17.856,13.56875,803.09031,956.1847,-1.02045,0.00359,0.00414,0.11769,0.87242,0.00211,5e-05,26.0,232.0,0.02777,0.823
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@20.573,hook,corpus,20.573,16.08164,910.03601,1142.15282,-2.95718,0.02315,0.01131,0.02699,0.93391,0.00459,6e-05,20.0,196.0,0.05365,0.811
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@6.223,clap,corpus,6.223,17.47343,1540.21695,1772.43062,-1.35733,0.00086,0.0006,0.00947,0.97048,0.01812,0.00046,16.0,278.0,0.99467,0.804
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@62.798,hook,corpus,62.798,14.97973,1239.52422,1645.29594,-3.78743,0.00305,0.02232,0.09937,0.82694,0.04704,0.00128,42.0,266.0,0.18521,0.798
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@63.623,hook,corpus,63.623,17.80824,1291.31864,1433.72968,-0.71711,0.00109,0.03927,0.03789,0.90433,0.01715,0.00027,26.0,290.0,0.0596,0.797
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@6.896,clap,corpus,6.896,17.53386,1583.56683,1792.25442,-0.34009,0.00175,0.00064,0.0172,0.83657,0.14025,0.0036,40.0,198.0,0.99415,0.789
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@54.613,hook,corpus,54.613,12.10778,814.39568,926.31812,-1.79316,0.05167,0.48184,0.06214,0.40227,0.00197,0.0001,14.0,196.0,0.38046,0.785
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@34.18,hook,corpus,34.18,17.69981,1056.86805,1179.55562,-2.77781,0.01098,0.00568,0.09829,0.87104,0.01387,0.00015,26.0,196.0,0.14356,0.78
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@0.093,clap,corpus,0.093,18.01093,1508.71828,1903.49154,-2.10697,0.0012,0.00042,0.02142,0.86869,0.10512,0.00315,76.0,290.0,0.98817,0.734
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@45.012,clap,corpus,45.012,15.91286,1087.09706,1314.33148,-0.83016,0.00164,0.00025,0.10231,0.88024,0.01548,8e-05,30.0,302.0,0.94604,0.722
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@59.339,clap,corpus,59.339,17.03733,1573.18412,1436.69779,3.52928,0.00987,0.18626,0.04281,0.68099,0.07838,0.0017,16.0,266.0,0.97853,0.709
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@8.975,clap,corpus,8.975,13.43953,1263.33609,1414.80695,-0.55345,0.00061,0.00063,0.02847,0.958,0.01222,7e-05,256.0,256.0,0.68791,0.655
corpus:006-sansetatcivil-01-2021-fight-club-2-flac@42.574,clap,corpus,42.574,12.5824,1535.0622,1933.19567,-2.71744,0.00064,0.0004,0.05414,0.85673,0.08787,0.00022,400.0,400.0,0.93824,0.632
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@11.622,kick,corpus,11.622,14.37229,888.26079,906.83835,-0.02271,0.79688,0.17454,0.02632,0.00218,7e-05,1e-05,10.0,34.0,0.02895,0.983
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@2.403,kick,corpus,2.403,14.10662,829.41611,757.80579,1.7386,0.79034,0.1498,0.05811,0.00171,3e-05,1e-05,12.0,50.0,0.04216,0.981
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@8.568,kick,corpus,8.568,14.04098,721.4115,679.43941,4.92397,0.80179,0.16437,0.03049,0.00329,5e-05,1e-05,16.0,124.0,0.03703,0.978
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@14.71,kick,corpus,14.71,15.85719,903.37989,1042.79361,-0.30313,0.7584,0.16437,0.06948,0.00755,0.00015,5e-05,10.0,46.0,0.07585,0.978
corpus:007-psy-shepherd-x-ethnomite-pux-x-invisible-distant-signals-psy-shepherd-x-invisible@5.48,kick,corpus,5.48,14.24653,759.8048,703.00839,2.12015,0.74376,0.16732,0.08675,0.00215,1e-05,0.0,10.0,50.0,0.05302,0.977
